,Title,Author,Link,Price,Rating,Rating Count
0,"How To Win Friends & Influence People, International Bestseller",Dale Carnegie,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03269371LC14WGRP6KNN&url=%2FFriends-Influence-People-International-Bestseller%2Fdp%2F8194899133%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DBooks%26qid%3D1649735602%26sr%3D8-1-spons%26psc%3D1&qualifier=1649735602&id=4769108161711551&widgetName=sp_atf,109,4.5 out of 5 stars,"64,252"
1,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,unknown,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10239661C8CJHMGI2PI7&url=%2FWorlds-Greatest-Personal-Growth-Wealth%2Fdp%2F9389432014%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DBooks%26qid%3D1649735602%26sr%3D8-2-spons%26psc%3D1&qualifier=1649735602&id=4769108161711551&widgetName=sp_atf,unkown,unknown,unknown
2,The Psychology of Money,Morgan Housel,https://amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=sr_1_3?keywords=Books&qid=1649735602&sr=8-3,240,4.6 out of 5 stars,"31,017"
3,The Power of Your Subconscious Mind,Joseph Murphy,https://amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=sr_1_4?keywords=Books&qid=1649735602&sr=8-4,105,4.5 out of 5 stars,"51,133"
4,Oswaal CBSE Term 2 Science Class 10 Sample Question Paper Book (For Term-2 2022 Exam),Oswaal Editorial Board,https://amazon.in/Oswaal-Science-Sample-Question-Term-2/dp/935463897X/ref=sr_1_5?keywords=Books&qid=1649735602&sr=8-5,111,4.5 out of 5 stars,72
5,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,https://amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194/ref=sr_1_6?keywords=Books&qid=1649735602&sr=8-6,372,4.6 out of 5 stars,"56,926"
6,"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",Gaur Gopal Das,https://amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=sr_1_7?keywords=Books&qid=1649735602&sr=8-7,214,4.6 out of 5 stars,"14,890"
7,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,https://amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=sr_1_8?keywords=Books&qid=1649735602&sr=8-8,399,4.5 out of 5 stars,"48,415"
8,Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,https://amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=sr_1_9?keywords=Books&qid=1649735602&sr=8-9,139,4.6 out of 5 stars,"3,821"
9,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),unknown,https://amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=sr_1_10?keywords=Books&qid=1649735602&sr=8-10,unkown,unknown,unknown
10,"The Politics: Aristotle's philosophy on ""Man"" as a ""political animal""",Aristotle,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A053913416X3C7HK80Q49&url=%2FPolitics-Aristotle%2Fdp%2F9389931266%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DBooks%26qid%3D1649735602%26sr%3D8-11-spons%26psc%3D1&qualifier=1649735602&id=4769108161711551&widgetName=sp_mtf,109,4.5 out of 5 stars,"1,182"
11,Atomic Habits: The life-changing million copy bestseller,James Clear,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0545490ASYCORVW7DGM&url=%2FAtomic-Habits-James-Clear%2Fdp%2F1847941834%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DBooks%26qid%3D1649735602%26sr%3D8-12-spons%26psc%3D1&qualifier=1649735602&id=4769108161711551&widgetName=sp_mtf,512,4.6 out of 5 stars,"37,878"
12,Brain Activity Book for Kids - 200+ Activities for Age 3+,unknown,https://amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=sr_1_13?keywords=Books&qid=1649735602&sr=8-13,unkown,unknown,unknown
13,GIKSO 100 Maths Puzzles Book - Brain Boosting Mathematical Activities for Age 7+ Years Old Kids | Game Book (English) - Reprinted 2021,unknown,https://amazon.in/GIKSO-100-Maths-Puzzles-Book/dp/8193864999/ref=sr_1_14?keywords=Books&qid=1649735602&sr=8-14,unkown,unknown,unknown
14,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",Maple Press,https://amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=sr_1_15?keywords=Books&qid=1649735602&sr=8-15,180,4.5 out of 5 stars,"3,761"
